"period","brown_trtmnt","type","year","month","nind","biomass"
19,"dipo_absent","small_granivore",1979,1,0,0
20,"dipo_absent","small_granivore",1979,2,1,24
21,"dipo_absent","small_granivore",1979,3,0,0
22,"dipo_absent","small_granivore",1979,4,2,33
23,"dipo_absent","small_granivore",1979,5,3,41
24,"dipo_absent","small_granivore",1979,7,4,45
25,"dipo_absent","small_granivore",1979,7,5,62.899749373
26,"dipo_absent","small_granivore",1979,8,1,15
27,"dipo_absent","small_granivore",1979,9,2,23
28,"dipo_absent","small_granivore",1979,10,3,30
29,"dipo_absent","small_granivore",1979,11,6,47
30,"dipo_absent","small_granivore",1980,1,9,78
31,"dipo_absent","small_granivore",1980,2,11,93
32,"dipo_absent","small_granivore",1980,3,13,114.899749373
33,"dipo_absent","small_granivore",1980,4,8,72
34,"dipo_absent","small_granivore",1980,5,4,29
35,"dipo_absent","small_granivore",1980,6,1,11
1,"dipo_present","small_granivore",1977,7,2,35.23702584
2,"dipo_present","small_granivore",1977,8,4,47.518262293
3,"dipo_present","small_granivore",1977,9,1,16
4,"dipo_present","small_granivore",1977,10,1,8
5,"dipo_present","small_granivore",1977,11,2,13
6,"dipo_present","small_granivore",1977,12,1,6
7,"dipo_present","small_granivore",1978,1,0,0
8,"dipo_present","small_granivore",1978,2,0,0
9,"dipo_present","small_granivore",1978,3,0,0
10,"dipo_present","small_granivore",1978,4,0,0
11,"dipo_present","small_granivore",1978,5,2,22
12,"dipo_present","small_granivore",1978,6,2,23
13,"dipo_present","small_granivore",1978,7,2,26
14,"dipo_present","small_granivore",1978,8,1,18
15,"dipo_present","small_granivore",1978,9,4,54
16,"dipo_present","small_granivore",1978,10,2,21
17,"dipo_present","small_granivore",1978,11,0,0
18,"dipo_present","small_granivore",1978,12,0,0
19,"dipo_present","small_granivore",1979,1,0,0
20,"dipo_present","small_granivore",1979,2,0,0
21,"dipo_present","small_granivore",1979,3,0,0
22,"dipo_present","small_granivore",1979,4,0,0
23,"dipo_present","small_granivore",1979,5,0,0
24,"dipo_present","small_granivore",1979,7,0,0
25,"dipo_present","small_granivore",1979,7,1,16
26,"dipo_present","small_granivore",1979,8,0,0
27,"dipo_present","small_granivore",1979,9,1,14
28,"dipo_present","small_granivore",1979,10,1,16
29,"dipo_present","small_granivore",1979,11,3,34
30,"dipo_present","small_granivore",1980,1,2,18
31,"dipo_present","small_granivore",1980,2,2,23
32,"dipo_present","small_granivore",1980,3,3,32.899749373
33,"dipo_present","small_granivore",1980,4,1,8
34,"dipo_present","small_granivore",1980,5,1,8
35,"dipo_present","small_granivore",1980,6,1,7
1,"dipo_absent","small_omnivore",1977,7,1,21.98281643
2,"dipo_absent","small_omnivore",1977,8,0,0
3,"dipo_absent","small_omnivore",1977,9,0,0
4,"dipo_absent","small_omnivore",1977,10,0,0
5,"dipo_absent","small_omnivore",1977,11,3,93.38015931
6,"dipo_absent","small_omnivore",1977,12,4,96.22398308
7,"dipo_absent","small_omnivore",1978,1,3,79.23871131
8,"dipo_absent","small_omnivore",1978,2,4,94.05599577
9,"dipo_absent","small_omnivore",1978,3,4,96.11199154
10,"dipo_absent","small_omnivore",1978,4,1,23
11,"dipo_absent","small_omnivore",1978,5,1,29
12,"dipo_absent","small_omnivore",1978,6,2,41
13,"dipo_absent","small_omnivore",1978,7,0,0
14,"dipo_absent","small_omnivore",1978,8,3,51
15,"dipo_absent","small_omnivore",1978,9,4,92
16,"dipo_absent","small_omnivore",1978,10,2,48
17,"dipo_absent","small_omnivore",1978,11,1,21
18,"dipo_absent","small_omnivore",1978,12,2,51
19,"dipo_absent","small_omnivore",1979,1,1,27
20,"dipo_absent","small_omnivore",1979,2,2,56
21,"dipo_absent","small_omnivore",1979,3,0,0
22,"dipo_absent","small_omnivore",1979,4,1,23
23,"dipo_absent","small_omnivore",1979,5,2,39
24,"dipo_absent","small_omnivore",1979,7,3,66
25,"dipo_absent","small_omnivore",1979,7,3,90
26,"dipo_absent","small_omnivore",1979,8,2,45
27,"dipo_absent","small_omnivore",1979,9,3,104
28,"dipo_absent","small_omnivore",1979,10,5,133
29,"dipo_absent","small_omnivore",1979,11,5,105
30,"dipo_absent","small_omnivore",1980,1,5,118
31,"dipo_absent","small_omnivore",1980,2,4,98
32,"dipo_absent","small_omnivore",1980,3,3,84
33,"dipo_absent","small_omnivore",1980,4,1,36
34,"dipo_absent","small_omnivore",1980,5,1,39
35,"dipo_absent","small_omnivore",1980,6,2,44
1,"dipo_present","small_omnivore",1977,7,0,0
2,"dipo_present","small_omnivore",1977,8,0,0
3,"dipo_present","small_omnivore",1977,9,0,0
4,"dipo_present","small_omnivore",1977,10,0,0
5,"dipo_present","small_omnivore",1977,11,0,0
6,"dipo_present","small_omnivore",1977,12,1,24.05599577
7,"dipo_present","small_omnivore",1978,1,3,79.23871131
8,"dipo_present","small_omnivore",1978,2,0,0
9,"dipo_present","small_omnivore",1978,3,2,64
10,"dipo_present","small_omnivore",1978,4,0,0
11,"dipo_present","small_omnivore",1978,5,0,0
12,"dipo_present","small_omnivore",1978,6,0,0
13,"dipo_present","small_omnivore",1978,7,1,22
14,"dipo_present","small_omnivore",1978,8,0,0
15,"dipo_present","small_omnivore",1978,9,2,44
16,"dipo_present","small_omnivore",1978,10,0,0
17,"dipo_present","small_omnivore",1978,11,6,158
18,"dipo_present","small_omnivore",1978,12,2,55
19,"dipo_present","small_omnivore",1979,1,1,35
20,"dipo_present","small_omnivore",1979,2,2,68
21,"dipo_present","small_omnivore",1979,3,0,0
22,"dipo_present","small_omnivore",1979,4,0,0
23,"dipo_present","small_omnivore",1979,5,0,0
24,"dipo_present","small_omnivore",1979,7,0,0
25,"dipo_present","small_omnivore",1979,7,2,55
26,"dipo_present","small_omnivore",1979,8,4,103
27,"dipo_present","small_omnivore",1979,9,3,78
28,"dipo_present","small_omnivore",1979,10,3,64
29,"dipo_present","small_omnivore",1979,11,2,71
30,"dipo_present","small_omnivore",1980,1,3,83.12671977
31,"dipo_present","small_omnivore",1980,2,3,106
32,"dipo_present","small_omnivore",1980,3,0,0
33,"dipo_present","small_omnivore",1980,4,0,0
34,"dipo_present","small_omnivore",1980,5,1,24
35,"dipo_present","small_omnivore",1980,6,0,0
